Wavelength [nm]	Abs_Stable	Abs_PSS	EpsilonAvg_Stable	EpsilonPlusError_Stable	EpsilonMinusError_Stable	Abs_Metastable_before_rescaling	Abs_Metastable_rescaled	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable	EpsilonAvg_Stable * total_conc_avg	EpsilonAvg_Metastable * total_conc_avg
480.434	0.1878	0.2356	3997.4711615344695	4023.1110001463894	3971.8313229225496	0.162358	0.2661606557377049	5532.455799707236	5562.244881215649	5502.666718198827	0.19231415200874843	0.2661606557377049
481.01	0.17941455805892598	0.22951057192374386	3827.847540533448	3846.6946437913334	3809.0004372755625	0.15953889428076273	0.2615391709520701	5436.392915301282	5465.6647536184055	5407.121076984161	0.1841537372076713	0.2615391709520701
481.587	0.1718	0.2243	3666.3170822283882	3688.946722079213	3643.6874423775635	0.157298	0.2578655737704918	5360.03296654522	5388.89365060828	5331.172282482164	0.17638267598990945	0.2578655737704918
482.164	0.1646	0.2178	3498.3514166080527	3516.276022329928	3480.4268108861775	0.153606	0.25181311475409834	5234.225634522658	5262.408918710571	5206.042350334747	0.16830202368622646	0.25181311475409834
482.741	0.1571	0.2118	3356.228996753221	3370.783039638347	3341.674953868095	0.150531	0.24677213114754099	5129.44298393507	5157.062074023287	5101.823893846855	0.16146466287701888	0.24677213114754099
483.317	0.1498	0.2052	3207.756638870578	3221.6298431621053	3193.883434579051	0.146778	0.24061967213114754	5001.55703673012	5028.487534800075	4974.626538660167	0.15432181319802848	0.24061967213114754
483.894	0.1417	0.199	3052.4808240204	3065.0235901791502	3039.93805786165	0.143737	0.2356344262295082	4897.932958539272	4924.305500753235	4871.560416325311	0.14685165632792446	0.2356344262295082
484.471	0.1341	0.1922	2879.898725077192	2895.7226613578664	2864.0747887965176	0.139901	0.22934590163934426	4767.218731659925	4792.887453201878	4741.550010117974	0.13854891225073826	0.22934590163934426
485.047	0.1256147313691504	0.18611057192374325	2715.7516753210302	2740.0125478937907	2691.4908027482697	0.1371208266897746	0.22478824047504034	4672.482494736904	4697.64111631861	4647.323873155201	0.13065196955797934	0.2247882404750403
485.624	0.1218	0.1827	2641.384412416521	2655.2539885998103	2627.514836233232	0.13519799999999998	0.22163606557377047	4606.9609086636865	4631.766734319179	4582.155083008198	0.12707423840626733	0.22163606557377044
486.201	0.1192	0.1803	2572.048713724121	2581.5267208122896	2562.570706635953	0.133812	0.21936393442622948	4559.732045667134	4584.283571152812	4535.1805201814595	0.12373857054047475	0.21936393442622945
